guid,body,highlight_id,text,topic,sentiment
046e9059-5299-4066-b63b-4ed1a1830515,Eh. Harvard is not known for its Greek life.,173,Harvard is not known for its Greek life.,student_life,neutral
282b5f68-1909-48ba-9668-eb5f8231db86,"Macalester is truly a top-rate school, offering rigorous academics like you might find at an R1 university and a supportive campus community only found at such a small college.",174,offering rigorous academics like you might find at an R1 university,academics,positive
282b5f68-1909-48ba-9668-eb5f8231db86,"Macalester is truly a top-rate school, offering rigorous academics like you might find at an R1 university and a supportive campus community only found at such a small college.",1,supportive campus community,student_life,positive
1d14b7df-4063-4a74-b26c-b20b5f1bf26b,"Going into Harvard, I expected more than what was presented with. The teachers do not have time for individual help or tutoring. The rules are quite uptight to protect the image of the school, and students are only concerned with studying. While I had issues at the start of my freshman year, I figured out the ""Harvard Formula"" as I call it which is the structure of all of their tests. Harvard is quite overrated and is not challenging once you see past the money.",4,quite overrated and is not challenging,value,negative
1d14b7df-4063-4a74-b26c-b20b5f1bf26b,"Going into Harvard, I expected more than what was presented with. The teachers do not have time for individual help or tutoring. The rules are quite uptight to protect the image of the school, and students are only concerned with studying. While I had issues at the start of my freshman year, I figured out the ""Harvard Formula"" as I call it which is the structure of all of their tests. Harvard is quite overrated and is not challenging once you see past the money.",3,only concerned with studying.,student_life,negative
1d14b7df-4063-4a74-b26c-b20b5f1bf26b,"Going into Harvard, I expected more than what was presented with. The teachers do not have time for individual help or tutoring. The rules are quite uptight to protect the image of the school, and students are only concerned with studying. While I had issues at the start of my freshman year, I figured out the ""Harvard Formula"" as I call it which is the structure of all of their tests. Harvard is quite overrated and is not challenging once you see past the money.",2,teachers do not have time for individual help or tutoring,professors,negative
63b9240c-f846-4145-b798-dd2fe302e311,The Career Services people are very helpful and friendly.,175,The Career Services people are very helpful and friendly.,career_prep,positive
50b11228-de0a-4fbe-917e-200b60cd3f1b,"I loved my Smith experience. I was a college athlete and enjoyed my D3 experience. I was able to prioritize my academics while playing in a competitive conference. I felt valued as a student, athlete, and person in classes, clubs, and my athletic experience.",176,I was able to prioritize my academics while playing in a competitive conference. ,academics,positive
fc017f1b-fa35-4128-a152-51733446f85b,"It's really hard to find affordable housing, especially when owning a pet and wanting to bring the pet along.",5,really hard to find affordable housing,dorms,negative
cbc105bb-48cd-4d54-9201-3a414bb22c07,It a school that deeply encourages Diversity in teaching it and in promoting it. And varieties of clubs for more interaction,177,It a school that deeply encourages Diversity in teaching it and in promoting it.,diversity,positive
cbc105bb-48cd-4d54-9201-3a414bb22c07,It a school that deeply encourages Diversity in teaching it and in promoting it. And varieties of clubs for more interaction,178,And varieties of clubs for more interaction,student_life,positive
a471c8fa-73e9-4b88-91be-6b7289abc26c,"P-Safe Can Be Tough – Public safety, if they catch you, will be strict. While you are safe on the Street or walking around campus drunk, DO NOT ever drink outside. Drinking in your room is safe, provided you are never caught with a drink in your hand. As for parties in dorms, make sure that there are no drugs (if drugs are found, everyone at the party gets punished), but feel safe going to one. P-safe doesn't come too often, usually only in cases of extreme noise. Just don't get caught with a drink in your hand, and you are fine.",18,safety,safety,negative
a471c8fa-73e9-4b88-91be-6b7289abc26c,"P-Safe Can Be Tough – Public safety, if they catch you, will be strict. While you are safe on the Street or walking around campus drunk, DO NOT ever drink outside. Drinking in your room is safe, provided you are never caught with a drink in your hand. As for parties in dorms, make sure that there are no drugs (if drugs are found, everyone at the party gets punished), but feel safe going to one. P-safe doesn't come too often, usually only in cases of extreme noise. Just don't get caught with a drink in your hand, and you are fine.",196,"While you are safe on the Street or walking around campus drunk, DO NOT ever drink outside.",irrelevant,
74d62e37-59ec-4685-be4a-a76ad191f6f8,"The teachers are supportive and there are tons of resources to take advantage of. You can take classes at Columbia and you can also eat at Columbia's dining halls, which is fun! But I prefer Barnard's food, there's also tons of good restaurants around Barnard and Columbia. The academics are definitely challenging.",7,academics are definitely challenging,academics,positive
74d62e37-59ec-4685-be4a-a76ad191f6f8,"The teachers are supportive and there are tons of resources to take advantage of. You can take classes at Columbia and you can also eat at Columbia's dining halls, which is fun! But I prefer Barnard's food, there's also tons of good restaurants around Barnard and Columbia. The academics are definitely challenging.",6,teachers are supportive,professors,positive
74d62e37-59ec-4685-be4a-a76ad191f6f8,"The teachers are supportive and there are tons of resources to take advantage of. You can take classes at Columbia and you can also eat at Columbia's dining halls, which is fun! But I prefer Barnard's food, there's also tons of good restaurants around Barnard and Columbia. The academics are definitely challenging.",179,there are tons of resources to take advantage of,campus_resource,positive
825983d9-9d6d-4cc2-877f-e3a3f5597960,The administration does not seem to care at all about undergrads making it seem like an environment of people who are only around for obtaining a diploma.,181,The administration does not seem to care at all about undergrads ,administration,negative
4d7df63d-b2cb-4f97-99dd-2afa027d9e9a,"Since I've been here, Wake hasn't screamed ""top 30 College"". They still have good academics and are definitely top 100. However, the people who attend this school ruin the whole experience. The homogenous student body is filled with people who are elitist and cliquey. Greek life here is filled with them and makes up the whole social scene at Wake. If you're not greek, there are basically no other opportunities for having a social life or making friends. Due to the undergrad student body's intense focus on social status, not much is achieved here as far as research, producing notable alumni, and innovation compared to other schools. It's not worth the 80k, if you get a great scholarship, consider it, but if you don't fit the general stereotype, don't bother",182,They still have good academics and are definitely top 100.,academics,positive
