guid,body,highlight_id,text,topic,sentiment
79ca81da-9a3b-4756-9ef2-7dd2308868c2,"Going to Barnard was a dream come true. I loved being in New York City, while also being removed enough from downtown that I felt like I had a college campus. My major was through the partnership with Columbia University, and there was a marked difference between the Barnard classes and those of Columbia. I really appreciated my Barnard professors, I never felt afraid to make myself heard in class, and I felt supported by my peers. I felt like I was being taught by professors who wanted to teach, rather than individuals who were just there for research.
I feel that Barnard helped me become the leader I am today and is top of its class as a women's institute. I also made some of my best friends at Barnard, and we're still going strong years after graduating.",1,while also being removed enough from downtown that I felt like I had a college campus,campus_facilities,positive
79ca81da-9a3b-4756-9ef2-7dd2308868c2,"Going to Barnard was a dream come true. I loved being in New York City, while also being removed enough from downtown that I felt like I had a college campus.
My major was through the partnership with Columbia University, and there was a marked difference between the Barnard classes and those of Columbia. I really appreciated my Barnard professors, I never felt afraid to make myself heard in class, and I felt supported by my peers. I felt like I was being taught by professors who wanted to teach, rather than individuals who were just there for research.
I feel that Barnard helped me become the leader I am today and is top of its class as a women's institute. I also made some of my best friends at Barnard, and we're still going strong years after graduating.",2,"I felt like I was being taught by professors who wanted to teach, rather than individuals who were just there for research.",professors,positive
79ca81da-9a3b-4756-9ef2-7dd2308868c2,"Going to Barnard was a dream come true. I loved being in New York City, while also being removed enough from downtown that I felt like I had a college campus.
My major was through the partnership with Columbia University, and there was a marked difference between the Barnard classes and those of Columbia. I really appreciated my Barnard professors, I never felt afraid to make myself heard in class, and I felt supported by my peers. I felt like I was being taught by professors who wanted to teach, rather than individuals who were just there for research.
I feel that Barnard helped me become the leader I am today and is top of its class as a women's institute. I also made some of my best friends at Barnard, and we're still going strong years after graduating.",3,"I also made some of my best friends at Barnard, and we're still going strong years after graduating.",social_life,positive
58b4972f-aad0-4653-8391-c4532f324b3c,"This is an AMAZING university, as I am sure most of you know. The campus is beautiful! There are fantastic resources, professors, and faculty! Most of the dorms are very nice and spacious! The dining hall is pretty good, not amazing but certain items are very tasty. Being from Los Angeles, the weather is a little bit of a downer but I am starting to get used to it. On the down side, the majority of students at the university are very conservative and not particularly open-minded...many Trump supporters not willing to hear out other peoples' sides! There is a lack of diversity! I am a Latina female and sometimes feel like I am being looked at differently by others, especially white males. The pro-life debate is a hot topic here, and is essentially expected of all of the traditional Catholics on campus. Despite the lack of openness and diversity, Notre Dame is fantastic and I do recommend. Just be ready to adapt if you are not used to the midwest-style environment!",4,"There is a lack of diversity! I am a Latina female and sometimes feel like I am being looked at differently by others, especially white males.",diversity,negative
58b4972f-aad0-4653-8391-c4532f324b3c,"This is an AMAZING university, as I am sure most of you know. The campus is beautiful! There are fantastic resources, professors, and faculty! Most of the dorms are very nice and spacious! The dining hall is pretty good, not amazing but certain items are very tasty. Being from Los Angeles, the weather is a little bit of a downer but I am starting to get used to it. On the down side, the majority of students at the university are very conservative and not particularly open-minded...many Trump supporters not willing to hear out other peoples' sides! There is a lack of diversity! I am a Latina female and sometimes feel like I am being looked at differently by others, especially white males. The pro-life debate is a hot topic here, and is essentially expected of all of the traditional Catholics on campus. Despite the lack of openness and diversity, Notre Dame is fantastic and I do recommend. Just be ready to adapt if you are not used to the midwest-style environment!",5,"There are fantastic resources, professors, and faculty!",professors,positive
58b4972f-aad0-4653-8391-c4532f324b3c,"This is an AMAZING university, as I am sure most of you know. The campus is beautiful! There are fantastic resources, professors, and faculty! Most of the dorms are very nice and spacious! The dining hall is pretty good, not amazing but certain items are very tasty. Being from Los Angeles, the weather is a little bit of a downer but I am starting to get used to it. On the down side, the majority of students at the university are very conservative and not particularly open-minded...many Trump supporters not willing to hear out other peoples' sides! There is a lack of diversity! I am a Latina female and sometimes feel like I am being looked at differently by others, especially white males. The pro-life debate is a hot topic here, and is essentially expected of all of the traditional Catholics on campus. Despite the lack of openness and diversity, Notre Dame is fantastic and I do recommend. Just be ready to adapt if you are not used to the midwest-style environment!",6,"Most of the dorms are very nice and spacious! The dining hall is pretty good, not amazing but certain items are very tasty. ",campus_facilities,positive
58b4972f-aad0-4653-8391-c4532f324b3c,"This is an AMAZING university, as I am sure most of you know. The campus is beautiful! There are fantastic resources, professors, and faculty! Most of the dorms are very nice and spacious! The dining hall is pretty good, not amazing but certain items are very tasty. Being from Los Angeles, the weather is a little bit of a downer but I am starting to get used to it. On the down side, the majority of students at the university are very conservative and not particularly open-minded...many Trump supporters not willing to hear out other peoples' sides! There is a lack of diversity! I am a Latina female and sometimes feel like I am being looked at differently by others, especially white males. The pro-life debate is a hot topic here, and is essentially expected of all of the traditional Catholics on campus. Despite the lack of openness and diversity, Notre Dame is fantastic and I do recommend. Just be ready to adapt if you are not used to the midwest-style environment!",82,he campus is beautiful,campus_facilities,positive
58b4972f-aad0-4653-8391-c4532f324b3c,"This is an AMAZING university, as I am sure most of you know. The campus is beautiful! There are fantastic resources, professors, and faculty! Most of the dorms are very nice and spacious! The dining hall is pretty good, not amazing but certain items are very tasty. Being from Los Angeles, the weather is a little bit of a downer but I am starting to get used to it. On the down side, the majority of students at the university are very conservative and not particularly open-minded...many Trump supporters not willing to hear out other peoples' sides! There is a lack of diversity! I am a Latina female and sometimes feel like I am being looked at differently by others, especially white males. The pro-life debate is a hot topic here, and is essentially expected of all of the traditional Catholics on campus. Despite the lack of openness and diversity, Notre Dame is fantastic and I do recommend. Just be ready to adapt if you are not used to the midwest-style environment!",315,The campus is beautiful,campus_facilities,positive
58b4972f-aad0-4653-8391-c4532f324b3c,"This is an AMAZING university, as I am sure most of you know. The campus is beautiful! There are fantastic resources, professors, and faculty! Most of the dorms are very nice and spacious! The dining hall is pretty good, not amazing but certain items are very tasty. Being from Los Angeles, the weather is a little bit of a downer but I am starting to get used to it. On the down side, the majority of students at the university are very conservative and not particularly open-minded...many Trump supporters not willing to hear out other peoples' sides! There is a lack of diversity! I am a Latina female and sometimes feel like I am being looked at differently by others, especially white males. The pro-life debate is a hot topic here, and is essentially expected of all of the traditional Catholics on campus. Despite the lack of openness and diversity, Notre Dame is fantastic and I do recommend. Just be ready to adapt if you are not used to the midwest-style environment!",463,The campus is beautiful,campus_facilities,positive
764f38ce-3972-40c3-a483-194cea3d57e3,"There is very limited socioeconomic diversity at UVA which can become discouraging at times. No one seems to question the costs of things and generally people are just super detached from the real world. However, UVA is also a great school academically, which makes suffering through some of the people here slightly more worth it. Many of the professors here are well-known, accomplished and extremely wise. For such a large school, there are still opportunities for smaller class sizes and study groups.",7,There is very limited socioeconomic diversity at UVA which can become discouraging at times.,diversity,negative
