guid,label_list
cbd36380-8964-4d4b-954d-13fadbf50171,"academics, social_life, administration, campus_facilities, diversity"
6761eef4-4218-4b9d-9514-1f7495a9459e,"location, social_life"
32e2b3af-33b3-428f-a5c1-c98dd0e4b54e,"administration, academics"
59737177-4391-4b7d-8ac1-b87a1b0fef4c,"diversity, academics"
5f103a73-a7cf-48eb-975b-a33e2c4e8131,administration
37e836f6-6de9-4a6b-9c7c-20ad7babe50b,"administration, diversity"
10491272-21f7-4e5e-add7-94905d19bf65,"diversity, campus_facilities"
f4107b01-8e84-4d17-ad86-63be49f0dce4,"academics, social_life"
a078c939-8c8a-4b66-bc58-6871a97446fd,"academics, social_life"
7be44c8a-c43b-4afc-b917-9bc661e9e346,"academics, social_life"
00a572ee-06ff-454b-9bf3-f7ceb01f0d10,"social_life, academics"
48123984-9c9d-4f8e-935c-ea2c1408e2c8,"diversity, academics"
4743db49-ffbe-4a1a-beda-0164e7978c27,affordability
e35fd140-58c1-48ef-a042-1c1b89f83a8b,"professors, campus_facilities"
64443b40-ee27-49ae-bd69-0a9e6d86a2e1,"academics, professors, campus_facilities, diversity, affordability"
7eaa7713-ccd9-4cbc-afed-a9a99859fe48,"social_life, professors, administration, location"
69248ea7-9979-4883-b361-fc1f1fd4f420,academics
47cbbf36-71c6-4e98-8943-80ee58fec6c8,"social_life, diversity"
66e7a53b-b538-4817-bf72-c60b6f003d6e,"academics, university_resources"
d4242178-f70f-4a56-bea8-cfa044bc1e20,"academics, safety"
ac67a1bd-dd71-4604-b1dc-4c7b55476fa6,"academics, diversity"
e892d1c6-2bf6-4b78-8e12-a37c7b0d86d3,"academics, location"
f76b905d-8169-4173-af24-fd8312fcad64,"academics, university_resources"
c6b979d0-f665-444f-9107-276c1e36cc1c,"social_life, professors"
fb6f8ae8-ec27-4996-a317-8500616f91a1,"academics, university_resources"
f8686771-9e7b-47a7-90e4-d25f963dc715,"academics, social_life, professors, campus_facilities, affordability"
6a02077a-9a10-4a5e-b0cd-1d04f6143a3e,"social_life, administration"
c2dc2059-20a2-4faa-b121-50df539ae2de,"academics, professors, campus_facilities"
ca4f1f91-e488-4f09-99be-f0612d7e0349,"academics, campus_facilities"
984c2bb4-7df3-4f98-ac99-f7042c37f83b,"social_life, academics"
df959cef-1903-4e16-9aeb-f927b893bbdb,professors
055f8ffb-23b2-4157-9f57-11b5e3dd8082,social_life
4112ad17-4c60-493a-b0fd-0202de1b3cbd,academics
b7326b38-17a4-47b4-847b-61176d8d3025,"academics, social_life"
07141fd9-83e9-41c7-b6ec-8d134a973584,"diversity, social_life"
7eabfaca-c09e-42d1-a565-fa6840264c2a,"academics, social_life"
40918c5b-92de-4ea5-a7f7-0dc788030489,"academics, campus_facilities"
abea50c5-ab3f-496e-a630-ce7d31687b4c,"academics, professors"
0f3602d5-4b34-4565-a90e-823848539062,"academics, professors"
252f3433-05df-41c2-ad1e-2c51edfbc8b0,"academics, campus_facilities"
7acd7c79-e9b7-4cd0-b8fa-2b71fb5d2475,"social_life, campus_facilities"
5500eb31-ef25-4d0e-b920-5ad1b670ca1c,"location, academics, administration"
c779229b-5972-403e-8956-54e8b3ca8738,"academics, professors, campus_facilities, diversity"
3039b60b-66c1-4b8a-8ee8-89863a9b3d26,academics
4068c3fc-bbdf-445c-8520-7b596c163a5c,"professors, campus_facilities, affordability"
3f7890ef-31ec-4c8e-8b44-546b9408be38,"academics, campus_facilities"
a19c1b59-bf6e-4752-a856-806c211ee976,"academics, social_life"
f39fcfe7-add4-43da-acc4-be3b6ebbc0c2,"academics, campus_facilities"
c9b1cdee-0fe8-47f3-a7a8-4e93f9639196,"social_life, academics, professors"
780b4ac8-da0c-41c1-a354-1cf537d7876e,"academics, location, social_life, diversity, campus_facilities"
d25a676f-a8e4-4113-9035-b7dc295a064c,"academics, social_life"
a26160a9-42ca-4bc3-aec2-a4fa5eabdf78,"academics, professors"
d1ccb563-51e7-49fa-a80d-bf0bc3fe04d3,"academics, social_life, professors, diversity"
25701ad7-1942-44c0-ba7a-0ba970ba6c1c,"social_life, administration"
b6a74058-cd49-4f6a-b198-4cb7870a0575,"academics, diversity"
1ca02490-0445-48b3-bcd6-d3d215f57676,"campus_facilities, social_life"
543c60f5-f950-4de7-8c74-e2651704ee3f,"academics, social_life"
52b09f32-b365-42f6-bb90-77ac51afb6a7,"affordability, social_life"
76c39593-dc0c-4566-96c3-e9439be8aa18,"academics, location, diversity"
d215676b-9cdf-4f99-90ff-7ee0e930cc00,"academics, professors, diversity, campus_facilities, affordability"
370f669f-7960-4497-8651-b5b8eb4ea524,"professors, administration"
ce8d3402-05d3-4b97-aca1-3c83bfdb344a,"academics, professors, affordability"
704b61f4-daa2-4473-a358-cf186f1375d8,"academics, safety"
da403ce5-b1b0-48de-b959-1aa08cf3e775,"academics, career_prospect"
dfd1445f-afc8-44db-87df-67ea17cc9eff,"academics, campus_facilities"
8c808899-4e27-4d10-bbfe-3e4a34998ab5,"academics, affordability"
7f7b3736-bc5c-4a49-a867-12a1bf19ae6d,"academics, location"
a8627689-f563-4625-b158-25d543f51405,"academics, campus_facilities"
6ec5f0d8-828f-4449-9bc3-c9231016d08b,"administration, social_life"
0b0799ff-1c45-44ad-ada8-56ad2bc4c4e0,"diversity, social_life"
978ec512-209a-4c3f-98ba-71788e1afbcc,"social_life, professors"
3133adc1-387b-46c1-bf9a-da33e36b76c6,academics
9e9214da-0266-4f49-aac6-d07f3a45935e,"administration, academics"
20ad5a67-c144-43ea-80f9-21854f9d1578,"academics, location"
d533b053-82b1-470b-aa2a-6fa75040a84c,"academics, professors, social_life, administration"
b1b69ae7-c677-4446-8239-8d8b58e22dbe,"academics, administration"
605ecf3c-255e-4252-8443-71978ba939e6,"academics, location"
1909b4fc-80a3-4178-bae2-ba4fd2b981d0,"academics, campus_facilities"
e509cfb5-d458-4b6f-9789-90deb1022113,"academics, location"
e1523b7a-8dee-400f-bd6f-5a92c2aab440,location
fd4a5a36-9b48-438a-acc4-e8610b57a61f,"academics, campus_facilities"
f06f8ea1-025e-4ffa-95f5-d86f9adbc482,"academics, diversity, location, social_life"
79dfdc93-9c70-4c10-9562-b168c688b932,"diversity, campus_facilities, academics"
949a3bad-f9c6-467a-923b-09dd25216eb3,"academics, affordability"
47a0fe67-556b-4d4c-b39d-012089a62d9e,academics
753911e4-2777-43a9-aa1b-038fa4ef8473,"social_life, campus_facilities"
25737b58-4080-40f5-aef3-6b1f4b424134,"academics, social_life"
dedd2a08-007d-477a-bc4e-80237734ec0e,"academics, professors"
d424a7df-90d8-4214-b66c-45a0444e7d12,"academics, diversity"
410290b7-385e-487f-a37c-8f39d9df927e,"location, affordability"
797eb316-75a3-4f4f-9483-516ef4b5dc06,academics
9d36dcdf-45c7-4f1b-970e-e26eaf994255,"academics, social_life"
54a241fd-0428-4cef-98dc-7c8b414c6452,academics
e38a3934-f168-43fc-92ea-4c0582e4652c,"campus_facilities, social_life"
ebb3809b-65ec-46c7-8130-9ca76383e4e8,"academics, social_life"
915fdce5-b134-4fae-8ede-7a3a2b20794b,"academics, university_resources"
cd059ead-8c4e-45fc-a525-d3e0c5a6c2a3,"diversity, professors, administration, campus_facilities"
df8066d1-5a81-4323-a8a6-28039ea7dbc2,"academics, campus_facilities"
96f55b24-c9f2-41c9-b565-c523e062a580,"academics, affordability"
c7e64bcb-df7c-447a-a0b1-d524dc8a5a1f,"social_life, professors, location, diversity"
0cb881c6-01cb-42e3-a66e-d67ac637229d,"academics, campus_facilities"
9eed4950-3996-479a-824d-47eeb16b31ce,"academics, affordability"
d8e10203-8247-47fb-9643-0037b26611e8,"academics, university_resources"
