"unitid","institution name","year","DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of total enrollment that are Asian","DRVEF2022.Percent of total enrollment that are Black or African American","DRVEF2022.Percent of total enrollment that are Hispanic/Latino","DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of total enrollment that are White","DRVEF2022.Percent of total enrollment that are two or more races","DRVEF2022.Percent of total enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of total enrollment that are U.S. Nonresident","DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of total enrollment that are women","DRVEF2022.Percent of undergraduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of undergraduate enrollment that are Asian","DRVEF2022.Percent of undergraduate enrollment that are Black or African American","DRVEF2022.Percent of undergraduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are White","DRVEF2022.Percent of undergraduate enrollment that are two or more races","DRVEF2022.Percent of undergraduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of undergraduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are women","DRVEF2022.Percent of graduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of graduate enrollment that are Asian","DRVEF2022.Percent of graduate enrollment that are Black or African American","DRVEF2022.Percent of graduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of graduate enrollment that are White","DRVEF2022.Percent of graduate enrollment that are two or more races","DRVEF2022.Percent of graduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of graduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of graduate enrollment that are women"
"100654","Alabama A & M University","2022","0","0","86","1","0","2","1","8","2","0","61","0","0","89","1","0","2","1","4","1","0","59","0","1","60","0","0","2","0","31","6","1","68"
"100663","University of Alabama at Birmingham","2022","0","7","21","5","0","51","4","5","7","7","63","0","8","25","7","0","51","5","1","3","8","63","0","6","15","2","0","51","2","10","13","6","65"
"100690","Amridge University","2022","1","1","55","3","1","38","0","2","0","1","57","0","0","66","3","0","29","0","1","0","0","64","1","1","49","2","1","43","0","3","0","2","53"
"100706","University of Alabama in Huntsville","2022","1","4","9","6","0","69","4","4","4","4","42","1","4","9","7","0","70","5","3","1","4","41","0","3","9","4","0","63","1","7","12","3","48"
"100724","Alabama State University","2022","0","0","90","1","0","4","1","1","2","0","65","0","0","93","1","0","2","1","1","2","0","64","0","1","73","1","0","20","1","1","4","1","70"
"100733","University of Alabama System Office","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100751","The University of Alabama","2022","0","2","11","6","0","71","3","4","3","2","57","0","2","11","6","0","73","3","4","1","2","56","0","2","13","4","0","64","3","2","12","2","62"
"100760","Central Alabama Community College","2022","0","0","19","4","0","71","4","1","0","1","58","0","0","19","4","0","71","4","1","0","1","58",,,,,,,,,,,
"100812","Athens State University","2022","1","1","15","5","0","73","3","1","0","1","69","1","0","13","5","0","76","3","1","0","1","70","2","3","30","4","0","57","2","1","0","3","62"
"100830","Auburn University at Montgomery","2022","0","3","39","2","0","37","3","1","16","3","63","0","3","44","2","0","42","4","1","4","3","68","0","1","23","1","0","24","1","1","49","1","48"
"100858","Auburn University","2022","0","3","5","4","0","79","3","0","6","3","51","0","3","4","4","0","83","3","0","3","3","50","0","3","8","4","0","63","2","1","19","3","53"
"100937","Birmingham-Southern College","2022","0","2","15","6","0","73","1","0","2","2","47","0","2","15","6","0","73","1","0","2","2","47",,,,,,,,,,,
"101028","Chattahoochee Valley Community College","2022","0","1","46","1","1","39","10","2","0","2","66","0","1","46","1","1","39","10","2","0","2","66",,,,,,,,,,,
"101116","South University-Montgomery","2022","0","1","75","2","0","20","1","2","1","1","86","0","1","74","2","0","20","1","1","1","1","87","0","0","76","2","0","17","0","4","0","0","85"
"101143","Enterprise State Community College","2022","1","2","18","7","0","63","6","3","1","2","50","1","2","18","7","0","63","6","3","1","2","50",,,,,,,,,,,
"101161","Coastal Alabama Community College","2022","1","1","23","4","0","64","5","1","0","1","58","1","1","23","4","0","64","5","1","0","1","58",,,,,,,,,,,
"101189","Faulkner University","2022","1","1","34","4","0","53","2","2","3","2","59","0","1","38","4","0","48","3","2","3","2","56","1","2","27","3","0","62","1","2","1","2","65"
"101240","Gadsden State Community College","2022","0","1","18","7","0","69","4","0","1","1","62","0","1","18","7","0","69","4","0","1","1","62",,,,,,,,,,,
"101277","New Beginning College of Cosmetology","2022","0","0","0","22","0","76","0","2","0","0","100","0","0","0","22","0","76","0","2","0","0","100",,,,,,,,,,,
"101286","George C Wallace Community College-Dothan","2022","0","1","29","6","0","58","4","1","0","1","69","0","1","29","6","0","58","4","1","0","1","69",,,,,,,,,,,
"101295","George C Wallace State Community College-Hanceville","2022","1","1","6","9","0","79","4","0","1","1","64","1","1","6","9","0","79","4","0","1","1","64",,,,,,,,,,,
"101301","George C Wallace State Community College-Selma","2022","0","1","72","2","0","22","0","3","1","1","58","0","1","72","2","0","22","0","3","1","1","58",,,,,,,,,,,
"101365","Herzing University-Birmingham","2022","0","1","65","2","0","28","2","2","0","1","78","0","1","65","2","0","28","2","2","0","1","78","0","0","88","0","0","13","0","0","0","0","88"
"101435","Huntingdon College","2022","0","0","19","6","0","67","5","2","0","0","44","0","0","19","6","0","67","5","2","0","0","44","0","0","40","0","0","40","0","20","0","0","80"
"101453","Heritage Christian University","2022","1","3","8","3","0","83","1","1","0","3","13","1","0","7","6","0","83","1","1","0","0","15","0","7","10","0","0","84","0","0","0","7","11"
"101462","J. F. Drake State Community and Technical College","2022","0","0","60","8","0","24","5","1","1","0","60","0","0","60","8","0","24","5","1","1","0","60",,,,,,,,,,,
"101471","J F Ingram State Technical College","2022","0","0","57","1","0","41","0","0","0","1","13","0","0","57","1","0","41","0","0","0","1","13",,,,,,,,,,,
"101480","Jacksonville State University","2022","0","1","24","0","0","62","0","11","2","1","60","0","1","24","0","0","62","0","12","2","1","59","1","1","23","0","0","66","0","5","4","1","64"
"101505","Jefferson State Community College","2022","0","2","22","8","0","62","3","0","1","2","63","0","2","22","8","0","62","3","0","1","2","63",,,,,,,,,,,
"101514","John C Calhoun State Community College","2022","1","2","15","9","0","66","6","1","1","2","55","1","2","15","9","0","66","6","1","1","2","55",,,,,,,,,,,
"101569","Lawson State Community College","2022","0","0","80","4","0","11","3","0","0","0","66","0","0","80","4","0","11","3","0","0","0","66",,,,,,,,,,,
"101587","University of West Alabama","2022","1","0","32","3","0","49","2","11","2","0","75","1","0","37","3","0","44","2","9","3","0","70","1","0","29","2","0","52","2","13","1","0","79"
"101602","Lurleen B Wallace Community College","2022","0","1","18","4","0","72","4","1","0","1","54","0","1","18","4","0","72","4","1","0","1","54",,,,,,,,,,,
"101648","Marion Military Institute","2022","1","2","21","8","1","60","4","3","0","3","28","1","2","21","8","1","60","4","3","0","3","28",,,,,,,,,,,
"101675","Miles College","2022","0","0","95","1","0","3","1","0","0","0","55","0","0","95","1","0","3","1","0","0","0","55",,,,,,,,,,,
"101693","University of Mobile","2022","2","1","13","2","0","48","5","26","4","1","61","2","1","12","1","0","50","5","26","3","1","61","0","1","15","4","0","37","6","26","10","1","65"
"101709","University of Montevallo","2022","0","0","17","7","0","67","3","2","3","1","66","0","0","17","7","0","66","3","2","3","1","63","0","1","20","4","0","69","1","3","1","1","79"
"101736","Northwest-Shoals Community College","2022","1","1","8","10","0","75","5","1","0","1","54","1","1","8","10","0","75","5","1","0","1","54",,,,,,,,,,,
"101879","University of North Alabama","2022","1","2","12","5","0","70","4","1","5","2","64","1","1","10","6","0","72","5","1","5","2","63","1","2","18","4","0","66","2","1","6","2","68"
"101897","Northeast Alabama Community College","2022","2","1","2","17","0","70","8","1","0","1","65","2","1","2","17","0","70","8","1","0","1","65",,,,,,,,,,,
"101912","Oakwood University","2022","0","0","73","9","0","1","2","2","11","0","57","0","0","73","9","0","1","2","2","12","0","57","0","8","72","10","0","5","5","0","0","8","49"
"101994","Reid State Technical College","2022","1","1","60","0","0","35","3","0","0","1","55","1","1","60","0","0","35","3","0","0","1","55",,,,,,,,,,,
"102030","Bishop State Community College","2022","1","2","58","3","0","31","4","1","1","2","65","1","2","58","3","0","31","4","1","1","2","65",,,,,,,,,,,
"102049","Samford University","2022","0","2","9","4","0","80","2","2","1","2","68","0","1","5","4","0","85","2","1","1","2","68","0","3","15","4","0","71","2","4","1","3","68"
"102058","Selma University","2022","0","0","100","0","0","0","0","0","0","0","54","0","0","100","0","0","0","0","0","0","0","58","0","0","100","0","0","0","0","0","0","0","47"
"102067","Shelton State Community College","2022","0","1","38","5","0","52","3","0","1","1","59","0","1","38","5","0","52","3","0","1","1","59",,,,,,,,,,,
"102076","Snead State Community College","2022","0","1","6","16","0","72","3","0","0","1","63","0","1","6","16","0","72","3","0","0","1","63",,,,,,,,,,,
"102094","University of South Alabama","2022","1","4","21","4","0","62","4","2","2","4","68","1","4","22","5","0","60","4","2","1","4","61","1","4","19","3","0","65","3","2","3","4","79"
"102234","Spring Hill College","2022","1","2","13","9","0","61","2","4","9","2","55","1","2","13","9","0","61","2","3","9","2","57","0","2","13","8","1","62","2","7","5","3","42"
"102270","Stillman College","2022","0","0","95","1","0","3","0","1","0","0","56","0","0","95","1","0","3","0","1","0","0","56",,,,,,,,,,,
"102298","Talladega College","2022","0","0","85","5","0","1","1","1","7","0","50","0","0","84","5","0","1","1","1","7","0","48","0","0","93","1","0","0","1","1","3","0","74"
"102313","H Councill Trenholm State Community College","2022","0","1","73","5","0","17","3","0","0","1","61","0","1","73","5","0","17","3","0","0","1","61",,,,,,,,,,,
"102368","Troy University","2022","0","1","32","5","0","52","4","3","2","1","64","0","1","32","4","0","54","4","3","2","1","64","0","2","32","7","0","47","4","6","2","2","63"
"102377","Tuskegee University","2022","0","1","84","2","2","2","0","9","0","2","65","0","0","91","2","2","1","0","4","0","2","62","0","2","55","5","1","8","0","29","0","3","76"
"102395","United States Sports Academy","2022","1","1","30","9","0","40","5","14","0","1","27","1","0","22","13","0","37","6","19","1","0","21","2","2","36","5","0","42","4","9","0","2","32"
"102429","Bevill State Community College","2022","0","1","15","4","0","76","3","1","0","1","60","0","1","15","4","0","76","3","1","0","1","60",,,,,,,,,,,
"102553","University of Alaska Anchorage","2022","5","7","3","9","2","48","10","13","2","9","60","5","7","3","9","2","48","10","13","1","9","60","4","4","4","7","3","62","8","5","4","6","65"
"102580","Alaska Bible College","2022","0","0","3","3","0","90","5","0","0","0","41","0","0","3","3","0","90","5","0","0","0","41",,,,,,,,,,,
"102614","University of Alaska Fairbanks","2022","12","2","3","9","1","53","10","8","3","3","62","13","2","3","9","1","52","10","8","1","3","62","6","2","2","7","1","58","7","8","9","3","60"
"102632","University of Alaska Southeast","2022","11","4","1","8","1","55","11","7","1","6","65","11","5","1","8","1","53","12","8","1","6","64","10","2","3","5","1","67","4","6","4","3","73"
"102669","Alaska Pacific University","2022","25","6","4","2","2","34","5","22","1","8","78","26","6","5","2","2","34","2","22","1","8","80","21","4","1","1","2","35","15","19","2","6","69"
"102711","Alaska Vocational Technical Center","2022","43","1","1","3","0","35","12","4","0","2","31","43","1","1","3","0","35","12","4","0","2","31",,,,,,,,,,,
"102845","Charter College","2022","12","3","8","19","3","42","9","4","1","6","73","12","3","8","19","3","42","9","4","1","6","73",,,,,,,,,,,
"103501","Alaska Career College","2022","24","14","10","8","2","30","8","3","0","16","87","24","14","10","8","2","30","8","3","0","16","87",,,,,,,,,,,
"103529","University of Alaska System of Higher Education","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103741","Empire Beauty School-Tucson","2022","3","1","8","53","0","23","8","4","0","1","95","3","1","8","53","0","23","8","4","0","1","95",,,,,,,,,,,
"103893","Carrington College-Phoenix North","2022","4","3","9","56","0","17","1","9","1","3","80","4","3","9","56","0","17","1","9","1","3","80",,,,,,,,,,,
"103909","Carrington College-Mesa","2022","8","3","7","46","0","24","1","11","0","3","87","8","3","7","46","0","24","1","11","0","3","87",,,,,,,,,,,
"103927","Carrington College-Tucson","2022","3","2","8","62","0","17","1","6","0","3","81","3","2","8","62","0","17","1","6","0","3","81",,,,,,,,,,,
"103954","Arizona Academy of Beauty","2022","0","3","21","50","0","24","3","0","0","3","94","0","3","21","50","0","24","3","0","0","3","94",,,,,,,,,,,
"103963","Miller-Motte College-Arizona Automotive Institute","2022","11","0","10","46","1","24","8","0","0","1","14","11","0","10","46","1","24","8","0","0","1","14",,,,,,,,,,,
"104090","Brookline College-Phoenix","2022","7","3","13","32","1","26","1","17","0","4","89","7","3","13","32","1","25","1","17","0","4","89","9","6","23","17","0","38","0","6","0","6","77"
"104151","Arizona State University Campus Immersion","2022","1","8","4","23","0","42","5","3","14","8","48","1","9","4","26","0","45","5","4","7","9","49","1","5","2","10","0","29","2","1","49","5","45"
"104160","Arizona Western College","2022","1","1","1","63","0","11","1","20","1","1","60","1","1","1","63","0","11","1","20","1","1","60",,,,,,,,,,,
