guid,topic
0082106e-a6eb-452d-bb06-afec37273a30,diversity
046e9059-5299-4066-b63b-4ed1a1830515,student_life
0ccd1aac-1830-4506-b025-8b009612c969,academics
0cce9872-cb4d-44cf-bec3-9b90a98f3bf9,"professors,administration,campus_resource"
10cbda62-d281-46fb-a4d4-5f4e686fd4b0,"academics,campus,student_life,professors"
11fb845f-755f-4630-8b5f-b4fcff733628,irrelevant
12558075-fdcb-4365-8a51-071e11add707,academics
19d76565-54db-4353-bae9-af5c30f27042,unclear
1c7435e3-4b23-403d-aa93-5a8394c6a04c,dorms
1d14b7df-4063-4a74-b26c-b20b5f1bf26b,"value,student_life,professors"
1e3277d0-bc32-4aaa-8030-d96036c631f3,location
1e9d6975-7537-45c1-85b1-c6e737f10bc6,academics
278c103f-8c1b-412b-aa21-f7a3a837cbfe,affordability
282b5f68-1909-48ba-9668-eb5f8231db86,"academics,student_life"
2aa716c1-9b7d-4db1-817d-f7a6f8e78abd,"academics,diversity,professors,affordability"
337a811f-fecd-443f-9708-1a4b25d3ad93,"diversity,campus,professors"
34437e0b-e08d-4df0-95b7-a8be1bacbba4,"diversity,student_life,community"
35b40ca7-cb96-4efa-95c9-dcf810dfc761,"academics,campus,party_scene,professors,campus_resource"
45fdb6d4-7d02-4d94-a45e-9f68e1cce73b,"academics,campus,campus_food,student_life,athletics,professors,career_prep,community"
465d2985-aad2-441e-9ef1-bee5a6de2277,"academics,student_life,athletics"
49c65dfe-7d1f-4860-b893-f03d3940e3ca,"value,student_life,safety"
4bc68c38-de83-4273-81b7-ea215c84da13,athletics
4d7df63d-b2cb-4f97-99dd-2afa027d9e9a,"academics,value,diversity"
4e221aea-5bec-4b22-b5d0-308c03eb690b,"diversity,campus,community"
502cddcb-e9f2-4724-9bef-e53cdacfe902,professors
50b11228-de0a-4fbe-917e-200b60cd3f1b,academics
521b4aca-bc54-4517-bb5f-56e6c81a81cf,"academics,location"
5941ed4d-219f-4834-878b-aaa2e156c105,"student_life,party_scene,professors"
5a1335ab-d35d-4fa0-a9c5-19ff7d4bec2a,"academics,professors"
5ea3a56f-0a8d-4e58-bfd8-1c787dd08f06,"diversity,campus_resource"
63b9240c-f846-4145-b798-dd2fe302e311,career_prep
65c52c4c-d8ce-4cd8-bb2e-20432d892bf6,irrelevant
67e4cbbe-f98f-4290-a369-1ac2d6a40b8f,"academics,student_life"
6df94d30-d0df-4017-b54e-d2f391851145,"academics,professors"
6e63263a-2eee-4fdb-8a9e-c7ee1f0199a6,unclear
72e6621e-b87c-4c5a-8c5d-1255cc4030a2,location
74d62e37-59ec-4685-be4a-a76ad191f6f8,"academics,professors,campus_resource"
7723e86b-f47d-4b43-abdd-71bf79eb9ce1,affordability
77b8a116-9d58-4579-9830-78ec9d02ee02,"academics,student_life,athletics,alumni_network"
7b6487b6-d294-48dc-af06-432bb7214770,professors
7cc80aa0-355f-4b49-848c-72f13827f4d9,"athletics,party_scene,affordability,campus_resource"
7f88c69e-c19b-43cb-90ae-1d8107e33971,dorms
825983d9-9d6d-4cc2-877f-e3a3f5597960,administration
82f5873c-9531-4cc6-94a8-be0ab0f539f3,campus_resource
86ff65fb-e9dd-4d15-9f57-eca3867d6102,"campus,professors"
87f7e07a-0bb1-49bf-8394-db03b442d529,"academics,community"
8e1904c1-7da9-47f3-b052-ad360c6368ed,"location,campus_resource,mission"
8ef4c3be-b6c6-4956-9bec-a59d007c4b80,affordability
8f145650-3248-4dc3-a238-5380c96b06a4,academics
8f4c63db-595f-49fb-abf3-955c3b36dd91,"student_life,professors,community"
94eaab49-973d-47c1-bbef-bf6c43f3ba6a,academics
98ede161-7dd8-4231-b140-45625bc46686,academics
99810f46-78a3-4833-bb17-0c3fa05dd007,affordability
a060159c-8619-402a-b9c5-463b9a1d412d,academics
a471c8fa-73e9-4b88-91be-6b7289abc26c,"safety,irrelevant"
a53af07d-9bc2-415a-9a3e-f39c932bb607,"campus,professors,community"
a597acb9-e9c5-47d4-bcf9-f0434610c41e,"academics,location"
a9758993-97c3-45cd-9408-823a8dc66518,"campus,student_life"
ab976da9-1c01-4fc9-ae26-1becc122cf14,campus_food
af9e9aa1-33ca-4dae-a518-a3bd7cdeae90,affordability
b9002f59-be5b-4b2a-a839-2a7ce4379a63,"academics,location,student_life,community"
be3f42c8-1333-4940-8384-769423e34257,"campus,campus_food,student_life"
be9b78e7-b8e5-4fce-91e7-fc7b5c20ee14,"campus,location,campus_resource"
bed57b59-3c24-4841-9660-325c090066fb,"value,diversity,campus_resource"
c015ee2d-7834-4559-93ad-d37ca742ed69,"professors,administration"
c2a5d643-1dbb-48b9-be19-371fc1097f19,campus_resource
c4f89ae1-232d-4289-ac65-ac58c9e2f899,"campus_resource,career_prep"
c8b142ed-2c3e-452c-8ec8-299bd2a8c841,"location,career_prep,community"
c9ff1c0e-fd3a-49e0-ba60-fadee07271ce,"academics,student_life,athletics,professors"
cbc105bb-48cd-4d54-9201-3a414bb22c07,"diversity,student_life"
ce988e33-7fd2-443e-9fea-e9790a82cbc2,administration
d0b89ed7-ea80-4ef9-9157-b746f29cd49c,"diversity,student_life,community"
d8dc33ad-857e-47d3-b998-4519f0293c44,"campus,professors,career_prep"
d92b6e11-4d09-4e9e-863c-b464344419a9,irrelevant
d9df44de-d079-4430-9973-738e16b93239,"academics,diversity,location,student_life,affordability,career_prep,alumni_network"
dd73d92b-dc12-4d30-b0b7-deb63823eb96,community
e0ae1918-2c0a-4559-987e-16e49a03a992,dorms
e74ea9d2-26a6-4c85-ad00-21c2061c2425,"academics,diversity,student_life"
e8e4ba14-80d0-499d-b662-4592ec43a5f8,athletics
eafc130c-da98-495a-b0c6-a8dc8fae4ecd,"academics,professors"
f13b2c39-a23d-4267-88ef-f86ac5762a58,campus_resource
f19af095-0cf7-4c8e-b05d-2e4a830bb015,unclear
f4107b01-8e84-4d17-ad86-63be49f0dce4,"academics,professors"
f921edd4-2c0f-479a-b951-ff971e7ecaf7,"diversity,dorms,campus_food,party_scene,safety,affordability,career_prep"
fc017f1b-fa35-4128-a152-51733446f85b,dorms
fc1d3124-1ada-44af-8f32-ab5678448306,location
fe21b345-544d-41a8-8d9a-72bd94ec8771,"campus,campus_food,campus_resource"
ff0bbb99-9270-40d9-8724-a8181f2d0c98,academics
ffacef61-27b3-4f94-b5c6-fcb2db02812a,campus_food
