guid,body,rating,author,created,categories,entity_id,date,name,sentiment
cbd36380-8964-4d4b-954d-13fadbf50171,"This college will damage your mental health and gaslight you into believing that this is what the ""elite"" college experience entails. There is nothing elite about Amherst other than the decaying brand name and its recognition, especially regarding the quality of services this place offers. The workload is unreasonable, and most classes move at a pace that forces kids into ADHD prescriptions not to fail, especially in STEM. If you plan to apply to law/med school/grad school, you won't have anything else in your life other than your studies. This place fails to promote healthy balance, and instead of making structural changes, overmedicates kids. The dining hall is humiliating, small, and serves subpar slop, and rich kids order food 24/7. The income and culture divide on campus is unbearable, and unless you are from the tri-state area/Cali and play a sport, don't expect to fit in. The administrators and staff are on their high horse promulgating left-wing wokism and could not care less.",1,Senior,2023-01-10 18:11:03,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2023,Amherst College,negative
6761eef4-4218-4b9d-9514-1f7495a9459e,Isolated little town with nothing exciting in the area. I only lasted a year with how bad the food was so expect to order food out / doordash / hate the dining hall. Athletes run the party scene and it’s the only thing to do.,1,Freshman,2022-10-27 21:19:16,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2022,Amherst College,negative
32e2b3af-33b3-428f-a5c1-c98dd0e4b54e,"Absolutely terrible with mental health issues. Money-making machine that cares nothing about its students, especially at a difficult time like this. Ridiculous little school.",1,Junior,2021-05-06 17:03:11,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2021,Amherst College,negative
59737177-4391-4b7d-8ac1-b87a1b0fef4c,It honestly was just a bunch of snobby kids who thought they were smart but really only got good grades. I spent only a semester there before hating it. It just wasn't for me. A lot of lowkey racists and people who think they know everything.,1,Freshman,2021-01-15 22:11:11,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2021,Amherst College,negative
5f103a73-a7cf-48eb-975b-a33e2c4e8131,This place is a prison. They do not care about your mental health and only care about the almuni donating money,1,Freshman,2020-09-26 18:53:43,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2020,Amherst College,negative
37e836f6-6de9-4a6b-9c7c-20ad7babe50b,Elitist school for elitist kids. Not at all an intellectually stimulating place because it’s full of the worst kind of privileged students. The admin cares too much about rankings and not about students.,1,Works Here,2020-05-14 07:48:07,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2020,Amherst College,negative
10491272-21f7-4e5e-add7-94905d19bf65,"Racist, elitist college full of white boys in polo shirts. A great liberal arts school but full of snobs. The small group of low income and poc students struggle on campus. Several other LACS do a better job at diversity than Amherst does, and even recently there was a racism incident on campus. If you like Amherst, check out equally good but more diverse/less elitist schools. Campus is pretty but is designed quite poorly. Buildings are lack luster. Male athletics is the vibe on campus. The town is dreary and dingy and too far from any big city.",1,Works Here,2020-05-13 23:53:49,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2020,Amherst College,negative
f4107b01-8e84-4d17-ad86-63be49f0dce4,"Terrible, small snobby, school. Faculty is not as supportive and nurturing as they want you to believe. If you're a minority or nontraditional student don't expect support. They're just checking boxes by accepting you. Once you get there you're on your own to sink or swim. They work hard to make it seem like a paradise though. They try to minimize bad press so they can get good applications. Too small for it's own good. It's like living in a fish bowl. Very cliquish. If you weren't one of the popular ones in high school navigating this social minefield will be the biggest challenge of your life. Everyone thinks they're gods gift to humanity. Academics are okay but nothing special. Education ultimately is what you make of it. You might think you're awesome for going here but in real life no one knows wtf Amherst is and no one cares. Visit, ask questions, do your research and try not to be taken in by the rankings alone. I had a good life before I ever knew the name Amherst.",1,Niche User,2019-09-21 18:09:38,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2019,Amherst College,negative
a078c939-8c8a-4b66-bc58-6871a97446fd,"Solid education at the cost of terrible campus culture. Everyone follows the woke mob mentality, and although they preach inclusion, this couldn’t be farther from the truth.",2,Alum,2022-09-20 11:16:18,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2022,Amherst College,negative
7be44c8a-c43b-4afc-b917-9bc661e9e346,"I have found Amherst to be a hugely disappointing , and is really only suited to a certain type of person, of which I am not.

Athletes have a dominant role on campus, making up 35% of the population despite being a DIII school. Rape, criminal damage and drug use are big ongoing issues propagated by student athletes. 

Academics are generally good, though workloads vary massively between majors. Classes are small, and professors thoughtful. 

Amherst is not a social place and COVID restrictions excessive for the Colleges size and location have really crippled the social scene further. Mental health is bad, with no clear path set out to improve this. You either form a clique or live alone here. The student body is racially diverse, but is among the wealthiest in the country, which shapes the culture.

The real value of Amherst is its name and money. Students who are poor, seek to pursue prestige jobs and can stomach a poor social experience will thrive here. 

Avoid Amherst.",2,Junior,2022-02-27 00:17:23,Overall Experience,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2022,Amherst College,negative
